Описание;Решение  ;Тех. Решение 
Добрый день! В связи с наличием в Медиалоге лишней ответной записи от 18.12.25 20:20 ЭМК 15189688 Гринева Виктория Андреевна прошу дать доступ на удаление лишней записи.;В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен. Запись успешно удалена.;В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен. Запись успешно удалена.
"Доброй ночи! Не выгружаются результаты только Биохимических исследований в карту пациента ЭМК  15200760 
<Картинка>
 

<Картинка>";Заявка не актуальна. Обращение закрываю по согласованию с пользователем.;Заявка не актуальна. Обращение закрываю по согласованию с пользователем.
"Нечаянно завели дубль ЭМК. Требуется удалить ЭМК №1032215 - Белебеев Е.А. 25.06.95, созданная Фадеевой О.Н.
Действующая ЭМК - 1018013.";"В  продолжение телефонного разговора, дублирую информацию.
 Необходимо подать заявку в отдел клиентского сервиса в Service Desk
<Картинка>";"В   продолжение телефонного разговора, дублирую информацию.
 Необходимо подать заявку в отдел клиентского сервиса в Service Desk
<Картинка>"
"Запись от 7 Декабря 2025 20:26 (ПОЛЕВЧЕНКО Ева Артемовна (10.03.2019, 6 лет) Женский (396679)
Запись от 3 Декабря 2025 15:45 (ЗОТИМОВА Алиса Максимовна (20.03.2023, 2 года 9 месяцев) Женский (989778)
Запись от 7 Декабря 2025 20:54 (ВЛАСОВ Всеволод Михайлович (01.07.2021, 4 года) Мужской (1010987)
Запись от 17 Ноября 2025 13:48 (ГРУЗДЕВ Егор Максимович (09.10.2014, 11 лет) Мужской (117792)";В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.;В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.
"У пациента есть прикрепление, но оно не отображается в титульном листе ЭМК.
<Картинка>";В продолжение телефонного разговора, дублирую информацию. Прикрепление отображается. Обращение закрываю по согласованию с пользователем.;"12.01.2026 Не дозвонилась до пользователя.
В продолжение телефонного разговора, дублирую информацию. Прикрепление отображается. Обращение закрываю по согласованию с пользователем."
"В раздаточном листе каждый медикамент печатается на отдельном листе. Проблема только по указанному пациенту.
т. 7418

W15-0470-0235

<Картинка>";В продолжение телефонного разговора, дублирую информацию. Заявка не актуальна. Обращение закрываю по согласованию с пользователем.;"12.01.26 Не дозвонилась до пользователя.
В продолжение телефонного разговора, дублирую информацию. Заявка не актуальна. Обращение закрываю по согласованию с пользователем."
"Требуется удалить запись от 04.12.25 в ЭМК 15190237.

w15-0470-0820
<Картинка>";В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.;В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен.
"Не находится услуга - внутривенная инъекция.

w08-0600-0014";В продолжение телефонного разговора, дублирую информацию. Заявка не актуальна. Обращение закрываю по согласованию с пользователем.;В продолжение телефонного разговора, дублирую информацию. Заявка не актуальна. Обращение закрываю по согласованию с пользователем.
"Прошу настроить фильтр отображения анализов, как у коллеги, Мамедовой Регины Тахировны.
W15-0470-0552
Тел. 7193
<Картинка>
<Картинка>";В продолжение телефонного разговора, дублирую информацию. Проведена консультация в МИС Медиалог. Фильтр отображения анализов настроен.;В продолжение телефонного разговора, дублирую информацию. Проведена консультация в МИС Медиалог. Фильтр отображения анализов настроен.
"Прошу помочь с настройкой журнала исследований, на данный момент отображается не упорядоченно. Во вложении на 2 скрине указано как должно быть
тел 7193";В продолжение телефонного разговора, дублирую информацию. Проведена консультация в МИС Медиалоге. Проблема с настройкой журнала решена.;В продолжение телефонного разговора, дублирую информацию. Проведена консультация в МИС Медиалоге. Проблема с настройкой журнала решена.
"Нечаенно выписан не тот пациент.
Необходимо вернуть обратно пациента 
Шувалова Анна Владимировна.
Отделение Детское инфекционное отделение 
Палата 1.2 бокс
ЭМК 15072452";В продолжение телефонного разговора, дублирую информацию. Пациент размещен.;В продолжение телефонного разговора, дублирую информацию. Пациент размещен.
"Прошу дать права на редактирование записи в ЭМК.
Даты записей - 04.12.25, 11.12.25, 16.12.25.";Доступ предоставлен.;"12.01.25 Не дозвонилась до пользователя
Доступ предоставлен."
